用例ID,分类,用户指令,期望工具,期望颜色,期望模式,第1轮,通过率,状态,失败原因（最后一轮）,实际工具,实际颜色,实际模式,备注
T001,排版布局,帮我优化一下布局,layout-optimize,,,✅,1/1,稳定通过,,layout-optimize,blue,keep,覆盖筛选器、地图、标题、指标卡、隐藏组件
T002,排版布局,美化布局,layout-optimize,,,✅,1/1,稳定通过,,layout-optimize,blue,keep,
T003,排版布局,将所有组件重新排版，进行纵向对齐,layout-optimize,,,✅,1/1,稳定通过,,layout-optimize,blue,keep,
T004,排版布局,重新排版一下,layout-optimize,,,✅,1/1,稳定通过,,layout-optimize,blue,keep,
T005,排版布局,组件排列太乱了整理一下,layout-optimize,,,✅,1/1,稳定通过,,layout-optimize,blue,keep,
T006,主题美化,雾粉色调炫酷一些,theme-optimize,red,dark,✅,1/1,稳定通过,,theme-optimize,red,dark,
T007,主题美化,粉色温馨风格,theme-optimize,red,light,✅,1/1,稳定通过,,theme-optimize,red,light,
T008,主题美化,将主题调整为淡蓝色科研风格炫酷一些,theme-optimize,blue,dark,✅,1/1,稳定通过,,theme-optimize,blue,dark,
T009,主题美化,将主题调整为淡蓝色风格，营造有呼吸感的清新氛围,theme-optimize,blue,light,✅,1/1,稳定通过,,theme-optimize,blue,light,
T010,主题美化,将主题调整为绿色科技风格,theme-optimize,green,dark,✅,1/1,稳定通过,,theme-optimize,green,dark,
T011,主题美化,将主题调整为翡翠清新风格,theme-optimize,green,light,✅,1/1,稳定通过,,theme-optimize,green,light,
T012,主题美化,紫色高端风格，大屏效果,theme-optimize,purple,dark,✅,1/1,稳定通过,,theme-optimize,purple,dark,
T013,主题美化,薰衣草紫浅色主题,theme-optimize,purple,light,✅,1/1,稳定通过,,theme-optimize,purple,light,
T014,主题美化,将主题调整为活力橙效果，炫酷一些,theme-optimize,orange,dark,✅,1/1,稳定通过,,theme-optimize,orange,dark,
T015,主题美化,将主题调整暖橙效果，明亮柔和,theme-optimize,orange,light,✅,1/1,稳定通过,,theme-optimize,orange,light,
T016,主题美化,将主题调整为蒂芙尼蓝配色，暗色主题,theme-optimize,cyan,dark,✅,1/1,稳定通过,,theme-optimize,cyan,dark,
T017,主题美化,将主题调整为青色简洁风格,theme-optimize,cyan,light,✅,1/1,稳定通过,,theme-optimize,cyan,light,
T018,主题美化,将主题调整为金色炫酷样式,theme-optimize,golden,dark,✅,1/1,稳定通过,,theme-optimize,golden,dark,
T019,主题美化,将主题调整为鸡油黄偏奶油风格,theme-optimize,golden,light,✅,1/1,稳定通过,,theme-optimize,golden,light,
T020,主题美化,将主题调整为千禧风格,theme-optimize,,,✅,1/1,稳定通过,,theme-optimize,orange,light,
T021,主题美化,将主题调整为商务风格,theme-optimize,blue,,✅,1/1,稳定通过,,theme-optimize,blue,keep,
T022,主题美化,将主题调整为除夕效果,theme-optimize,,,✅,1/1,稳定通过,,theme-optimize,red,dark,
T023,主题美化,将主题调整为圣诞风格,theme-optimize,,,✅,1/1,稳定通过,,theme-optimize,red,dark,
T024,主题美化,将主题调整为党政风格,theme-optimize,red,,✅,1/1,稳定通过,,theme-optimize,red,keep,
T025,图表配色,将图表配色改为樱花粉效果,chart-color,red,,✅,1/1,稳定通过,,chart-color,red,keep,
T026,图表配色,将图表配色改为藕粉,chart-color,red,,✅,1/1,稳定通过,,chart-color,red,keep,
T027,图表配色,将图表配色改为朱红,chart-color,red,,✅,1/1,稳定通过,,chart-color,red,keep,
T028,图表配色,将图表配色改为粉红,chart-color,red,,✅,1/1,稳定通过,,chart-color,red,keep,
T029,图表配色,图表配色改为宝石蓝,chart-color,blue,,✅,1/1,稳定通过,,chart-color,blue,keep,
T030,图表配色,图表配色改为钴蓝色系,chart-color,blue,,✅,1/1,稳定通过,,chart-color,blue,keep,
T031,图表配色,图表配色改为湖蓝色系,chart-color,blue,,❌,0/1,必定失败,"颜色: 期望 blue, 实际 cyan",chart-color,cyan,keep,
T032,图表配色,图表配色改为淡蓝,chart-color,blue,,✅,1/1,稳定通过,,chart-color,blue,keep,
T033,图表配色,图表色系改为翠绿,chart-color,green,,✅,1/1,稳定通过,,chart-color,green,keep,
T034,图表配色,图表色系改为青绿,chart-color,green,,❌,0/1,必定失败,"颜色: 期望 green, 实际 cyan",chart-color,cyan,keep,
T035,图表配色,图表色系改为深绿,chart-color,green,,✅,1/1,稳定通过,,chart-color,green,keep,
T036,图表配色,图表色系改为渐变的葡萄紫,chart-color,purple,,✅,1/1,稳定通过,,chart-color,purple,keep,
T037,图表配色,图表色系改为紫罗兰色调,chart-color,purple,,✅,1/1,稳定通过,,chart-color,purple,keep,
T038,图表配色,将图表配色改为橘红色调,chart-color,orange,,✅,1/1,稳定通过,,chart-color,orange,keep,
T039,图表配色,将图表配色改为浅橙,chart-color,orange,,✅,1/1,稳定通过,,chart-color,orange,keep,
T040,图表配色,将图表配色改为橘色,chart-color,orange,,✅,1/1,稳定通过,,chart-color,orange,keep,
T041,图表配色,图表配色改为柠檬黄效果,chart-color,golden,,✅,1/1,稳定通过,,chart-color,golden,keep,
T042,图表配色,图表配色改为香槟金,chart-color,golden,,✅,1/1,稳定通过,,chart-color,golden,keep,
